column_name,dtype
COLE_MCPIO_UBICACION_HATO,bool
COLE_MCPIO_UBICACION_HATO COROZAL,bool
COLE_MCPIO_UBICACION_HATONUEVO,bool
COLE_MCPIO_UBICACION_HELICONIA,bool
COLE_MCPIO_UBICACION_HERRÁN,bool
COLE_MCPIO_UBICACION_HERVEO,bool
COLE_MCPIO_UBICACION_HISPANIA,bool
COLE_MCPIO_UBICACION_HOBO,bool
COLE_MCPIO_UBICACION_HONDA,bool
COLE_MCPIO_UBICACION_IBAGUÉ,bool
COLE_MCPIO_UBICACION_ICONONZO,bool
COLE_MCPIO_UBICACION_ILES,bool
COLE_MCPIO_UBICACION_IMUÉS,bool
COLE_MCPIO_UBICACION_INZÁ,bool
COLE_MCPIO_UBICACION_INÍRIDA,bool
COLE_MCPIO_UBICACION_IPIALES,bool
COLE_MCPIO_UBICACION_ISNOS,bool
COLE_MCPIO_UBICACION_ISTMINA,bool
COLE_MCPIO_UBICACION_ITAGÜÍ,bool
COLE_MCPIO_UBICACION_ITUANGO,bool
COLE_MCPIO_UBICACION_IZA,bool
COLE_MCPIO_UBICACION_JAMBALÓ,bool
COLE_MCPIO_UBICACION_JAMUNDÍ,bool
COLE_MCPIO_UBICACION_JARDÍN,bool
COLE_MCPIO_UBICACION_JENESANO,bool
COLE_MCPIO_UBICACION_JERICÓ,bool
COLE_MCPIO_UBICACION_JERUSALÉN,bool
COLE_MCPIO_UBICACION_JESÚS MARÍA,bool
COLE_MCPIO_UBICACION_JORDÁN,bool
COLE_MCPIO_UBICACION_JUAN DE ACOSTA,bool
COLE_MCPIO_UBICACION_JUNÍN,bool
COLE_MCPIO_UBICACION_JURADÓ,bool
COLE_MCPIO_UBICACION_LA APARTADA,bool
COLE_MCPIO_UBICACION_LA ARGENTINA,bool
COLE_MCPIO_UBICACION_LA BELLEZA,bool
COLE_MCPIO_UBICACION_LA CALERA,bool
COLE_MCPIO_UBICACION_LA CAPILLA,bool
COLE_MCPIO_UBICACION_LA CEJA,bool
COLE_MCPIO_UBICACION_LA CELIA,bool
COLE_MCPIO_UBICACION_LA CHORRERA,bool
COLE_MCPIO_UBICACION_LA CRUZ,bool
COLE_MCPIO_UBICACION_LA CUMBRE,bool
COLE_MCPIO_UBICACION_LA DORADA,bool
COLE_MCPIO_UBICACION_LA ESPERANZA,bool
COLE_MCPIO_UBICACION_LA ESTRELLA,bool
COLE_MCPIO_UBICACION_LA FLORIDA,bool
COLE_MCPIO_UBICACION_LA GLORIA,bool
COLE_MCPIO_UBICACION_LA JAGUA DE IBIRICO,bool
COLE_MCPIO_UBICACION_LA JAGUA DEL PILAR,bool
COLE_MCPIO_UBICACION_LA LLANADA,bool
COLE_MCPIO_UBICACION_LA MACARENA,bool
COLE_MCPIO_UBICACION_LA MERCED,bool
COLE_MCPIO_UBICACION_LA MESA,bool
COLE_MCPIO_UBICACION_LA MONTAÑITA,bool
COLE_MCPIO_UBICACION_LA PALMA,bool
COLE_MCPIO_UBICACION_LA PAZ,bool
COLE_MCPIO_UBICACION_LA PEDRERA,bool
COLE_MCPIO_UBICACION_LA PEÑA,bool
COLE_MCPIO_UBICACION_LA PINTADA,bool
COLE_MCPIO_UBICACION_LA PLATA,bool
COLE_MCPIO_UBICACION_LA PLAYA,bool
COLE_MCPIO_UBICACION_LA PRIMAVERA,bool
COLE_MCPIO_UBICACION_LA SALINA,bool
COLE_MCPIO_UBICACION_LA SIERRA,bool
COLE_MCPIO_UBICACION_LA TEBAIDA,bool
COLE_MCPIO_UBICACION_LA TOLA,bool
COLE_MCPIO_UBICACION_LA UNIÓN,bool
COLE_MCPIO_UBICACION_LA UVITA,bool
COLE_MCPIO_UBICACION_LA VEGA,bool
COLE_MCPIO_UBICACION_LA VICTORIA,bool
COLE_MCPIO_UBICACION_LA VIRGINIA,bool
COLE_MCPIO_UBICACION_LABATECA,bool
COLE_MCPIO_UBICACION_LABRANZAGRANDE,bool
COLE_MCPIO_UBICACION_LANDÁZURI,bool
COLE_MCPIO_UBICACION_LEBRIJA,bool
COLE_MCPIO_UBICACION_LEIVA,bool
COLE_MCPIO_UBICACION_LEJANÍAS,bool
COLE_MCPIO_UBICACION_LENGUAZAQUE,bool
COLE_MCPIO_UBICACION_LETICIA,bool
COLE_MCPIO_UBICACION_LIBORINA,bool
COLE_MCPIO_UBICACION_LINARES,bool
COLE_MCPIO_UBICACION_LLORÓ,bool
COLE_MCPIO_UBICACION_LORICA,bool
